№,Наименование организации,ИНН,ОГРН,Регион организации,Юридический адрес,Регион объекта,Адрес осуществления деятельности,Номер лицензии,Дата лицензии,Статус лицензии,Работы/услуги
235,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195269, г. Санкт-Петербург, Просвещения проспект, д. 69, литера А, 7-Н, ч. Пом.2, пом.3-12",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
236,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195269, г. Санкт-Петербург, Светлановский проспект, дом 54, литера А, 7-Н, пом.35-39, 43-46, 50",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
237,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195271, г. Санкт-Петербург, Замшина ул., лом 27, корпус 1, литера А, 6-Н, пом.1, пом.23-27, часть пом.4",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
238,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195271, г. Санкт-Петербург, Кондратьевский проспект, д. 62, корп.1, литера А. 4-Н, пом.1,3,4, часть пом.2",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
239,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195276, г. Санкт-Петербург, Просвещения проспект, дом 72, лит.А, 5-Н, пом.50,52,53",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
240,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195279, г. Санкт-Петербург, Индустриальный проспект, д. 27, лит. А, пом. 67Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
241,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195279, г. Санкт-Петербург, Ириновский проспект, д. 21, корп.1, литера А, часть пом.9-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных средств для медицинского применения
242,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195279, г. Санкт-Петербург, Наставников проспект, дом 38, литера А, часть пом.1-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
243,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195279, г. Санкт-Петербург, Ударников пр., дом 16, литера А, 16-Н, пом.1-3, 18-Н, пом.13-14",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
244,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195298, г. Санкт-Петербург, Косыгина пр., дом 27, корпус 1, литера А, 7-Н, пом.43-49; часть пом.12, часть пом.50",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
245,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195299, г. Санкт-Петербург, Киришская ул., д.5, лит.А, пом.44 Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
246,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195426, г. Санкт-Петербург, Индустриальный проспект, д .7, литера А, часть пом.1-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
247,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"195427, г. Санкт-Петербург, проспект Светлановский, д.36, корп. 3, литера А, пом. 3Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
248,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196066, г. Санкт-Петербург, Алтайская улица, дом 14, литера А, часть пом.1-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
249,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196070, г. Санкт-Петербург, Бассейная улица, дом 12, литера А, 19Н, пом.13-16",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
250,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196084, г. Санкт-Петербург, Заставская ул., д. 28, кор. 1, литера А, пом.2-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
251,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196142, г. Санкт-Петербург, ул. Пулковская, д. 10, корп. 1, литера А, пом. 22-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
252,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196143, г. Санкт-Петербург, Юрия Гагарина проспект, дом 71, литера А, 1-Н, пом.31, 132-135",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
253,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196158, г. Санкт-Петербург, ул. Ленсовета, д. 88, литера А, пом. 16Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
254,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196191, г. Санкт-Петербург, ул. Варшавская, д. 29, корп. 1, литера А, пом 37-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
255,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196247, г. Санкт-Петербург, Ленинский пр., д.149, корп.1, литера А, 2-Н, часть пом.3, пом.8,9",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
256,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196608, г. Санкт-Петербург, город Пушкин, Оранжерейная улица, дом 54 литера А, помещение 3-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
257,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196626, г. Санкт-Петербург, пос. Шушары, Пушкинская ул., д.38, лит. Б, 1-Н, ч. Пом.14",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
258,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196626, г. Санкт-Петербург, пос.Шушары, ул.Окуловская, д.4, литера А, 11-Н, пом.2, 5-7, ч.пом.3",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
259,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196641, г. Санкт-Петербург, поселок Металлострой, Центральная улица, дом 16, литера А, 3-Н, пом.1, ч.пом.3, пом.5-9, ч.пом.10",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
260,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196650, г. Санкт-Петербург, г. Колпино, Ленина пр-кт, д. 75, лит.А, 2-Н, пом.1-10, ч. Пом.14",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
261,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196655, г. Санкт-Петербург, город Колпино, Тверская ул., дом 34, литера А, 1-Н, пом.14,15,16",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
262,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"196665, г. Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга, город Колпино, улица Ижорского Батальона, дом 18, литера А, пом.26-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
263,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197022, г. Санкт-Петербург, Каменноостровский проспект, дом 55, литера А, помещение 20-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
264,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197046, г. Санкт-Петербург, Каменноостровский проспект, д.40, лит.А, пом.13Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
265,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197082, г. Санкт-Петербург, проспект Богатырский, д. 60, корп. 1, литера А, 25Н, пом. 1-3",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
266,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197110, г. Санкт-Петербург, Большая Зеленина ул., дом 16, литера А, 13-Н, пом.6,7,8",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
267,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197136, г. Санкт-Петербург, Чкаловский проспект, дом 52, литера А, помещение 16-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
268,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197227, г. Санкт-Петербург, Серебристый бульвар, д. 17, корп.1, лит.А, пом.33-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
269,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197342, г. Санкт-Петербург, Ланское шоссе, дом 13, литера А, 3-Н, пом. 2-8, 14",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
270,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197342, г. Санкт-Петербург, Торжковская ул., д.1, корп.2, литера А, часть пом.13-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
271,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197345, г. Санкт-Петербург, Мебельная ул., дом 19, корпус 2, литера А, помещение 26-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
272,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197345, г. Санкт-Петербург, Туристская ул., дом 24/42, Литера А, помещение 37-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
273,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197348, г. Санкт-Петербург, Богатырский проспект, д.7, корп.2, лит.А, 3Н, ч.пом.№2, ч.пом.№3-9",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
274,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197349, г. Санкт-Петербург, Королёва пр., дом 29, корпус 3, литера А, 1-Н, пом.5",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
275,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197349, г. Санкт-Петербург, Королёва проспект, дом 21, корпус 1, литера А, 18-Н, ч. Пом.2",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
276,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197350, г. Санкт-Петербург, Королёва проспект, дом 65, литера А, 45-Н, пом.1, часть пом.2",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
277,"Общество с ограниченной ответственностью ""Неофарм Северо - Запад""",7731334851,5167746314918,Москва,"123423, Россия, г. Москва, вн. Тер. Г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 43, к. 3, помещ. 3/1, этаж 2, ком. 43",Санкт-Петербург,"197371, г. Санкт-Петербург, проспект Комендантский, д. 25, корп. 1, лит. А, пом. 38-Н",Л042-01149-47/00285725,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
