№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной функции,Реестровый номер,Тип,Распоряжение исполнительного органа государственной власти Санкт-Петербурга об утверждении административного регламента
792,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.29.,Комитет по здравоохранению,"Информирует население Санкт-Петербурга о вреде потребления табака и вредном воздействии окружающего табачного дыма, в том числе посредством проведения информационных кампаний в средствах массовой информации","Информирует население Санкт-Петербурга о вреде потребления табака и вредном воздействии окружающего табачного дыма, в том числе посредством проведения информационных кампаний в средствах массовой информации",-,Функция,-
793,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.33.,Комитет по здравоохранению,"Информирует население, в том числе через средства массовой информации, о возможности распространения социально значимых заболеваний и заболеваний, представляющих опасность для окружающих, на территории Санкт-Петербурга, на основе ежегодных статистических данных, а также информирует об угрозе возникновения и о возникновении эпидемий","Информирует население, в том числе через средства массовой информации, о возможности распространения социально значимых заболеваний и заболеваний, представляющих опасность для окружающих, на территории Санкт-Петербурга, на основе ежегодных статистических данных, а также информирует об угрозе возникновения и о возникновении эпидемий",-,Функция,-
794,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.32.,Комитет по здравоохранению,"Заключает соглашения с Территориальным фондом обязательного медицинского страхования Санкт-Петербурга, представителями страховых медицинских организаций, профессиональных медицинских ассоциаций, профессиональных союзов медицинских работников об установлении тарифов на оплату медицинской помощи","Заключает соглашения с Территориальным фондом обязательного медицинского страхования Санкт-Петербурга, представителями страховых медицинских организаций, профессиональных медицинских ассоциаций, профессиональных союзов медицинских работников об установлении тарифов на оплату медицинской помощи",-,Функция,-
795,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.22.,Комитет по здравоохранению,В установленном порядке осуществляет ведомственный контроль качества и безопасности медицинской деятельности в подведомственных Комитету учреждениях,В установленном порядке осуществляет ведомственный контроль качества и безопасности медицинской деятельности в подведомственных Комитету учреждениях,-,Функция,-
796,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.10.,Комитет по здравоохранению,"Ведет региональный сегмент Федерального регистра лиц, страдающих жизнеугрожающими и хроническими прогрессирующими редкими (орфанными) заболеваниями, приводящими к сокращению продолжительности жизни граждан или их инвалидности, и своевременно представляет сведения, содержащиеся в нем, в уполномоченный федеральный орган исполнительной власти в порядке, установленном Правительством Российской Федерации","Ведет региональный сегмент Федерального регистра лиц, страдающих жизнеугрожающими и хроническими прогрессирующими редкими (орфанными) заболеваниями, приводящими к сокращению продолжительности жизни граждан или их инвалидности, и своевременно представляет сведения, содержащиеся в нем, в уполномоченный федеральный орган исполнительной власти в порядке, установленном Правительством Российской Федерации",-,Функция,-
797,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.43.,Комитет по здравоохранению,"Ведет региональный сегмент Федерального регистра лиц, инфицированных вирусом иммунодефицита человека, и региональный сегмент Федерального регистра лиц, больных туберкулезом, и своевременное представление сведений, содержащихся в них, в уполномоченный федеральный орган исполнительной власти в порядке, установленном Правительством Российской Федерации","Ведет региональный сегмент Федерального регистра лиц, инфицированных вирусом иммунодефицита человека, и региональный сегмент Федерального регистра лиц, больных туберкулезом, и своевременное представление сведений, содержащихся в них, в уполномоченный федеральный орган исполнительной власти в порядке, установленном Правительством Российской Федерации",-,Функция,-
798,"Постановление Правительства Санкт-Петербурга от 27.12.2013 N 1070 ""О Комитете по здравоохранению""",3.50,Комитет по здравоохранению,"Ведет региональный сегмент Федерального регистра граждан, имеющих право на обеспечение лекарственными препаратами, медицинскими изделиями и специализированными продуктами лечебного питания за счет бюджетных ассигнований федерального бюджета и бюджетов субъектов Российской Федерации, и своевременное представление сведений, содержащихся в нем, в уполномоченный федеральный орган исполнительной власти в порядке, установленном Правительством Российской Федерации","Ведет региональный сегмент Федерального регистра граждан, имеющих право на обеспечение лекарственными препаратами, медицинскими изделиями и специализированными продуктами лечебного питания за счет бюджетных ассигнований федерального бюджета и бюджетов субъектов Российской Федерации, и своевременное представление сведений, содержащихся в нем, в уполномоченный федеральный орган исполнительной власти в порядке, установленном Правительством Российской Федерации",-,Функция,-
799,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.25.,Комитет по инвестициям Санкт-Петербурга,"Содействовать в защите прав и законных интересов Санкт-Петербурга и частных партнеров в процессе реализации соглашений о государственно-частном партнерстве, публичным партнером в которых является Санкт-Петербург","Содействовать в защите прав и законных интересов Санкт-Петербурга и частных партнеров в процессе реализации соглашений о государственно-частном партнерстве, публичным партнером в которых является Санкт-Петербург",-,Функция,-
800,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.30.,Комитет по инвестициям Санкт-Петербурга,"Рассматривать предложения о реализации проекта государственно-частного партнерства, поступившие от лица, которое в соответствии с Федеральным законом ""О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации"" может быть частным партнером, принимать решения, указанные в части 5 статьи 8 Федерального закона ""О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации"", проводить переговоры и осуществлять иные действия, связанные с рассмотрением указанных предложений","Рассматривать предложения о реализации проекта государственно-частного партнерства, поступившие от лица, которое в соответствии с Федеральным законом ""О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации"" может быть частным партнером, принимать решения, указанные в части 5 статьи 8 Федерального закона ""О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации"", проводить переговоры и осуществлять иные действия, связанные с рассмотрением указанных предложений",-,Функция,-
801,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.20.,Комитет по инвестициям Санкт-Петербурга,"Рассматривать предложения о заключении концессионных соглашений в отношении объектов, находящихся в собственности Санкт-Петербурга, поступившие в соответствии со статьей 37 Федерального закона ""О концессионных соглашениях"", при этом принимать решения и осуществлять иные действия, связанные с рассмотрением указанных предложений, за исключением принятия решений, указанных в пунктах 1 и 2 части 4.4 и пункте 1 части 4.10 статьи 37 Федерального закона ""О концессионных соглашениях""","Рассматривать предложения о заключении концессионных соглашений в отношении объектов, находящихся в собственности Санкт-Петербурга, поступившие в соответствии со статьей 37 Федерального закона ""О концессионных соглашениях"", при этом принимать решения и осуществлять иные действия, связанные с рассмотрением указанных предложений, за исключением принятия решений, указанных в пунктах 1 и 2 части 4.4 и пункте 1 части 4.10 статьи 37 Федерального закона ""О концессионных соглашениях""",-,Функция,-
802,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.10.,Комитет по инвестициям Санкт-Петербурга,Разрабатывать предложения по основным направлениям инвестиционной политики в Санкт-Петербурге,Разрабатывать предложения по основным направлениям инвестиционной политики в Санкт-Петербурге,-,Функция,-
803,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.8.,Комитет по инвестициям Санкт-Петербурга,"Разрабатывать в соответствии с действующим законодательством предложения, касающиеся инвестиционных условий, для включения в инвестиционные договоры, договоры аренды земельных участков на инвестиционных условиях, договоры купли-продажи земельных участков на инвестиционных условиях в пределах компетенции Комитета","Разрабатывать в соответствии с действующим законодательством предложения, касающиеся инвестиционных условий, для включения в инвестиционные договоры, договоры аренды земельных участков на инвестиционных условиях, договоры купли-продажи земельных участков на инвестиционных условиях в пределах компетенции Комитета",-,Функция,-
804,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.4.,Комитет по инвестициям Санкт-Петербурга,"Проводить экспертизу материалов, необходимую для определения наличия оснований для принятия решения о реализации инвестиционного проекта путем участия Санкт-Петербурга в государственно-частном партнерстве","Проводить экспертизу материалов, необходимую для определения наличия оснований для принятия решения о реализации инвестиционного проекта путем участия Санкт-Петербурга в государственно-частном партнерстве",-,Функция,-
805,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.29.,Комитет по инвестициям Санкт-Петербурга,"Проводить с лицом, которое в соответствии с Федеральным законом «О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации» может быть частным партнером, предварительные переговоры, связанные с разработкой предложения о реализации проекта государственно-частного партнерства, в порядке, установленном федеральным органом исполнительной власти, уполномоченным на осуществление государственной политики в области инвестиционной деятельности","Проводить с лицом, которое в соответствии с Федеральным законом «О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации» может быть частным партнером, предварительные переговоры, связанные с разработкой предложения о реализации проекта государственно-частного партнерства, в порядке, установленном федеральным органом исполнительной власти, уполномоченным на осуществление государственной политики в области инвестиционной деятельности",-,Функция,-
806,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.28.,Комитет по инвестициям Санкт-Петербурга,"Предоставлять в определенный Правительством Российской Федерации федеральный орган исполнительной власти результаты мониторинга реализации соглашения о государственно-частном партнерстве, публичным партнером в обязательствах по которому является Санкт-Петербург, либо соглашения о государственно-частном партнерстве, заключенного на основании проведения совместного конкурса с участием Санкт-Петербурга","Предоставлять в определенный Правительством Российской Федерации федеральный орган исполнительной власти результаты мониторинга реализации соглашения о государственно-частном партнерстве, публичным партнером в обязательствах по которому является Санкт-Петербург, либо соглашения о государственно-частном партнерстве, заключенного на основании проведения совместного конкурса с участием Санкт-Петербурга",-,Функция,-
807,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.31-1.,Комитет по инвестициям Санкт-Петербурга,Осуществлять сопровождение подготовки и (или) реализации инвестиционного проекта,Осуществлять сопровождение подготовки и (или) реализации инвестиционного проекта,-,Функция,-
808,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.9.,Комитет по инвестициям Санкт-Петербурга,Осуществлять подготовку предложений по вопросам привлечения средств федерального бюджета для целей развития инвестиционной привлекательности Санкт-Петербурга в пределах компетенции Комитета,Осуществлять подготовку предложений по вопросам привлечения средств федерального бюджета для целей развития инвестиционной привлекательности Санкт-Петербурга в пределах компетенции Комитета,-,Функция,-
809,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.7.,Комитет по инвестициям Санкт-Петербурга,Осуществлять подготовку предложений по внесению изменений в Генеральный план Санкт-Петербурга в пределах компетенции Комитета,Осуществлять подготовку предложений по внесению изменений в Генеральный план Санкт-Петербурга в пределах компетенции Комитета,-,Функция,-
810,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.24.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять мониторинг реализации соглашений о государственно-частном партнерстве, публичным партнером в котором является Санкт-Петербург","Осуществлять мониторинг реализации соглашений о государственно-частном партнерстве, публичным партнером в котором является Санкт-Петербург",-,Функция,-
811,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.31.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять контроль за соблюдением частным партнером условий соглашений о государственно-частном партнерстве, публичным партнером в которых является Санкт-Петербург, если указанное полномочие не отнесено к компетенции иных исполнительных органов государственной власти Санкт-Петербурга","Осуществлять контроль за соблюдением частным партнером условий соглашений о государственно-частном партнерстве, публичным партнером в которых является Санкт-Петербург, если указанное полномочие не отнесено к компетенции иных исполнительных органов государственной власти Санкт-Петербурга",-,Функция,-
812,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.11-1.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять контроль за исполнением соглашения о реализации стратегического инвестиционного проекта Санкт-Петербурга в порядке, установленном Правительством Санкт-Петербурга","Осуществлять контроль за исполнением соглашения о реализации стратегического инвестиционного проекта Санкт-Петербурга в порядке, установленном Правительством Санкт-Петербурга",-,Функция,-
813,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.18.,Комитет по инвестициям Санкт-Петербурга,Осуществлять информационное обеспечение инвестиционно-строительного процесса в Санкт-Петербурге в пределах компетенции Комитета,Осуществлять информационное обеспечение инвестиционно-строительного процесса в Санкт-Петербурге в пределах компетенции Комитета,-,Функция,-
814,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.1.,Комитет по инвестициям Санкт-Петербурга,Осуществлять в установленном порядке подготовку документов для проведения конкурса на право заключения соглашения об осуществлении деятельности на основе государственно-частного партнерства,Осуществлять в установленном порядке подготовку документов для проведения конкурса на право заключения соглашения об осуществлении деятельности на основе государственно-частного партнерства,-,Функция,-
815,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.34.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять в пределах компетенции Комитета меры по противодействию терроризму, в том числе меры по обеспечению выполнения требований к антитеррористической защищенности объектов (территорий), находящихся в ведении Комитета и подведомственных ему организаций","Осуществлять в пределах компетенции Комитета меры по противодействию терроризму, в том числе меры по обеспечению выполнения требований к антитеррористической защищенности объектов (территорий), находящихся в ведении Комитета и подведомственных ему организаций",-,Функция,-
816,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.33.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять в порядке, установленном законодательством Российской Федерации и Санкт-Петербурга, мероприятия по гражданской обороне","Осуществлять в порядке, установленном законодательством Российской Федерации и Санкт-Петербурга, мероприятия по гражданской обороне",-,Функция,-
817,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.21-1.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять ведомственный контроль за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, в подведомственных Комитету организациях","Осуществлять ведомственный контроль за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, в подведомственных Комитету организациях",-,Функция,-
818,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.21.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять ведомственный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в порядке, установленном Правительством Санкт-Петербурга, в отношении подведомственных Комитету заказчиков, осуществляющих закупки товаров, работ, услуг в соответствии с Федеральным законом «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд»","Осуществлять ведомственный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в порядке, установленном Правительством Санкт-Петербурга, в отношении подведомственных Комитету заказчиков, осуществляющих закупки товаров, работ, услуг в соответствии с Федеральным законом «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд»",-,Функция,-
819,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.26.,Комитет по инвестициям Санкт-Петербурга,"Осуществлять ведение реестра заключенных соглашений о государственно-частном партнерстве, публичным партнером в которых является Санкт-Петербург","Осуществлять ведение реестра заключенных соглашений о государственно-частном партнерстве, публичным партнером в которых является Санкт-Петербург",-,Функция,-
820,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.21-2,Комитет по инвестициям Санкт-Петербурга,"Осуществляет ведомственный контроль за соблюдением подведомственными Комитету государственными бюджетными и автономными учреждениями Санкт-Петербурга требований Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и иных принятых в соответствии с ним нормативных правовых актов Российской Федерации.","Осуществляет ведомственный контроль за соблюдением подведомственными Комитету государственными бюджетными и автономными учреждениями Санкт-Петербурга требований Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и иных принятых в соответствии с ним нормативных правовых актов Российской Федерации.",-,Функция,-
821,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.32-1.,Комитет по инвестициям Санкт-Петербурга,"Определять в порядке, определенном Правительством Санкт-Петербурга, размер образовавшейся экономии стратегического инвестора Санкт-Петербурга в связи с реализацией стратегического инвестиционного проекта Санкт-Петербурга в случае принятия Правительством Санкт-Петербурга решения о прекращении статуса стратегического инвестиционного проекта Санкт-Петербурга, статуса стратегического инвестора Санкт-Петербурга и расторжении соглашения о реализации стратегического инвестиционного проекта Санкт-Петербурга","Определять в порядке, определенном Правительством Санкт-Петербурга, размер образовавшейся экономии стратегического инвестора Санкт-Петербурга в связи с реализацией стратегического инвестиционного проекта Санкт-Петербурга в случае принятия Правительством Санкт-Петербурга решения о прекращении статуса стратегического инвестиционного проекта Санкт-Петербурга, статуса стратегического инвестора Санкт-Петербурга и расторжении соглашения о реализации стратегического инвестиционного проекта Санкт-Петербурга",-,Функция,-
822,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.22.,Комитет по инвестициям Санкт-Петербурга,"Обеспечивать разработку предложения о реализации проекта государственно-частного партнерства в случае, если инициатором указанного проекта выступает Санкт-Петербург, в соответствии с требованиями, установленными в части 3 статьи 8 Федерального закона «О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации», и направлять его на рассмотрение в исполнительный орган государственной власти Санкт-Петербурга, уполномоченный оценивать эффективность проекта государственно-частного партнерства, публичным партнером в котором является Санкт-Петербург, и определять сравнительное преимущество этого проекта","Обеспечивать разработку предложения о реализации проекта государственно-частного партнерства в случае, если инициатором указанного проекта выступает Санкт-Петербург, в соответствии с требованиями, установленными в части 3 статьи 8 Федерального закона «О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации», и направлять его на рассмотрение в исполнительный орган государственной власти Санкт-Петербурга, уполномоченный оценивать эффективность проекта государственно-частного партнерства, публичным партнером в котором является Санкт-Петербург, и определять сравнительное преимущество этого проекта",-,Функция,-
823,"Постановление Правительства Санкт-Петербурга от 27.09.2012 N 1042 ""О Комитете по инвестициям Санкт-Петербурга""",3.6.,Комитет по инвестициям Санкт-Петербурга,"Обеспечивать подготовку документации по планировке территории, в том числе разработку проектов планировки территории, проектов межевания территории и градостроительных планов земельных участков, в целях размещения объектов капитального строительства при реализации стратегических инвестиционных проектов Санкт-Петербурга, а также при реализации инвестиционных проектов путем участия Санкт-Петербурга в государственно-частном партнерстве","Обеспечивать подготовку документации по планировке территории, в том числе разработку проектов планировки территории, проектов межевания территории и градостроительных планов земельных участков, в целях размещения объектов капитального строительства при реализации стратегических инвестиционных проектов Санкт-Петербурга, а также при реализации инвестиционных проектов путем участия Санкт-Петербурга в государственно-частном партнерстве",-,Функция,-
