№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
12043,АНГЛЕТЕР,Отель,192,384,"Санкт-Петербург, Ул. Малая Морская 24",Адмиралтейский,+7(812)4945666;,+7(812)4945125;,Http://www.hotelangleterre.ru/,Reservations.spb@angleterrehotel.com,"Отель Англетер находится в самом центре Санкт-Петербурга, в нескольких шагах от главных достопримечательностей города, Невского проспекта и Эрмитажа, прекрасно подходит для деловых встреч и отдыха.","Доставка еды и напитков в номер, Трансфер от/до аэропорта (платный), Круглосуточная стойка регистрации, Обмен валюты, Услуги по продаже билетов, Камера хранения багажа, Услуги консьержа, Прачечная, Химчистка, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Сувенирный магазин, V.I.P. Услуги. Сауна, Фитнес-центр, Крытый плавательный бассейн Вид во внутренний сад King, double или twin кровати Мини-бар ТВ Сейф Письменный стол Ванна и душ Кондиционер Обслуживание в номере","59.933979,30.308879"
12044,АСТОРИЯ,Гостиничный комплекс,163,326,"190000, Санкт-Петербург, Большая Морская ул., 39",Центральный,8 (812) 494-50-07,+7(812)4945059;,Https://www.roccofortehotels.com/ru/hotels-and-resorts/hotel-astoria/,Reservations.astoria@roccofortehotels.com,"Номера отеля «Астория«, оснащены кондиционером, LCD телевизором с самой современной интерактивной телевизионной системой и возможностью выхода в Интернет. По индивидуальному запросу постояльцам предоставляется видео- и аудио-оборудование. В каждом номере отеля »Астория» есть полный набор оборудования сети The Rocco Forte Collection: мини-бар, сейф, фен и телефонные аппараты с функцией голосовой почты. Для ванных комнат характерно изысканное оформление, их украшением является эксклюзивный набор личных принадлежностей: натуральные итальянские косметические средства, махровые полотенца, халаты и тапочки.","Доставка еды и напитков в номер, Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Няня/Услуги по уходу за детьми, Прачечная, Химчистка, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Парикмахерская/Салон красоты, Сувенирный магазин, V.I.P. Услуги. Сауна, Фитнес-центр, Солярий, Спа и оздоровительный центр, Массаж, Турецкая баня","59.932973,30.30923"
12046,Автор (Golden Garden),Бутик-отель,18,18,"Санкт-Петербург, Владимирский пр., 9, лит А",Центральный,+7(812)3342233;,Нет,Https://authorhotel.ru/,Hotel@goldengarden.ru; hotel@authorhotel.ru,"Author Boutique Hotel – первый бутик-отель в Петербурге, и один из первых бутик-отелей в России, открыл свои двери для гостей в 2004 году. Русское гостеприимство, безупречный европейский сервис и традиционный петербургский стиль аристократической жизни – главные отличительные черты отеля. Роскошь классических интерьеров делит свой пьедестал с уютной атмосферой и комфортом.","Сервисы Доставка еды и напитков в номер, Упакованные ланчи, Прокат автомобилей, Трансфер (за дополнительную плату), Трансфер от/до аэропорта (платный), Круглосуточная стойка регистрации, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Няня/Услуги по уходу за детьми, Прачечная, Химчистка, Услуги по глажению одежды, Чистка обуви, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Парикмахерская/Салон красоты, Сувенирный магазин, V.I.P. Услуги, Люкс для новобрачных, Массаж.","59.930651,30.3473"
12047,SO/ Sofitel St. Petersburg,Отель,137,274,"190000, Санкт-Петербург, Вознесенский пр., 6",Адмиралтейский,+7(812)6106161;,+7(812)6106160;,Www.accorhotels.com,HB315-RE@SOFITEL.COM,"Не пропустите первый отель SO/ St. Petersburg в России, настоящее сердце богатого событиями Санкт - Петербурга. В этом отеле, спроектированном дизайнером Антонио Читтерио, загадки дома Фаберже раскрываются в современном прочтении. Вас ждут головокружительные виды на Исаакиевский собор, новая концепция сервиса Just Say So, вечеринки SO parties с участием мировых диджеев на видовой летней террасе HI-SO.","Бары/рестораны фитнес-центр 3 конференц-зала на 60, 40, 8 человек бизнесцентр парикмахерская служба консьержей прачечная и химчистка бесплатный Wi-Fi в общественных зонах банкоматы предоставление автотранспорта с водителем сефы доставка цветов кейтеринг круглосуточная охрана сейф спутниковое телевидение система климат -контроля * минеральная вода ( W) в номере, кофе/чсай в номере","59.934961,30.308843"
12048,"Domina St.Petersburg (""Домина Санкт-Петербург"")",Отель,109,218,"Санкт-Петербург, наб. Реки Мойки, 99",Адмиралтейский,+7(812)3859900;,+7(812)3851290;,Https://spb.dominarussia.com/,Welcome@dominarussia.com,"Премиум-отель Domina St. Petersburg ***** расположен в тихом историческом месте в центре Санкт-Петербурга на набережной реки Мойки. В пяти минутах ходьбы открывается шикарный вид на Исаакиевский собор, за которым сияет шпиль Адмиралтейства, ждет Дворцовая площадь, Эрмитаж, набережная с видом на Петропавловскую крепость и стрелку Васильевского острова. Старинный петербургский особняк 19-го века преобразился в одну из лучших гостиниц благодаря итальянскому дизайнеру Джанмарко Каванино (Gianmarco Cavagnino). Яркое лобби, залитый светом атриум, смелые цвета в интерьерах отеля, стильные дизайнерские инсталляции в ресторане и баре создают незабываемую атмосферу приключения для лучшего отдыха в Санкт-Петербурге. Domina St. Petersburg любят звезды и творческие личности – многие из них останавливаются в арт-отеле снова, приезжая в Петербург по делам или на выходные. Молодожены неизменно выбирают это место из-за ярких интерьеров для фотосессий и атмосферного ресторана Arcobaleno с изысканными банкетами. Любители провести время в богемной обстановке давно облюбовали бар Nove с панорамными окнами на Мойку – по вечерам здесь играет фортепиано и подаются авторские коктейли в оригинальной посуде.","К услугам гостей номера с кондиционером, бесплатным Wi-Fi и принадлежностями для чая/кофе. Стойка регистрации работает круглосуточно.Доставка еды и напитков в номер, Упакованные ланчи, Прокат автомобилей, Трансфер (за дополнительную плату), Трансфер от/до аэропорта (платный), Круглосуточная стойка регистрации, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Прачечная, Химчистка, Услуги по глажению одежды, Чистка обуви, Пресс для брюк, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Сувенирный магазин, V.I.P. Услуги, Люкс для новобрачных. Пешие прогулки, Сауна, Фитнес-центр, Турецкая баня.","59.931039,30.304307"
12049,Кемпински отель МОЙКА 22,Отель,200,400,"Санкт-Петербург, наб. Реки Мойки, 22",Центральный,+7(812)335-91-11;,+7(812)335-91-90;,Www.kempinski.com/ru/st-petersburg/hotel-moika-22,Concierge.moika@kempinski.com,"Отель «Кемпински Мойка 22» расположился в самом сердце Санкт-Петербурга, на набережной реки Мойки в аристократическом особняке 1853 года, прямо напротив Дворцовой площади и музея Эрмитаж. Отель находится в пяти минутах ходьбы от Невского проспекта и главных достопримечательностей города, основных мест туристического интереса, шопинга и досуга. С радушным гостеприимством мы встречаем всех наших гостей, предлагая уникальный персонализированный европейский сервис в каждом из 200 номеров и люксов отеля, в пяти ресторанах и барах, в залах для проведения мероприятий.","Доставка еды и напитков в номер, Упакованные ланчи, Прокат автомобилей, Трансфер (за дополнительную плату), Трансфер от/до аэропорта (платный), Круглосуточная стойка регистрации, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Запирающиеся шкафчики, Няня/Услуги по уходу за детьми, Прачечная, Химчистка, Услуги по глажению одежды, Чистка обуви, Дневная уборка номера, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных. Сауна, Фитнес-центр, Спа и оздоровительный центр, Массаж, Гидромассажная ванна, Турецкая баня. Номера отеля обставлены антикварной мебелью и оформлены в классическом морском стиле с белыми и золотыми акцентами. В распоряжении гостей телевизор с плоским экраном, кондиционер, мини-бар, ванная комната с подогреваемым полом и изысканные туалетно-косметические принадлежности. Бесплатный Wi-fi.","59.939492,30.320189"
12050,Corinthia St Petersburg («Коринтия Санкт-Петербург»),Гостиница,386,770,"Санкт-Петербург, Невский проспект 57, литера А",Центральный,+7(812)3802001;,+7(812)3801937;,"Http://www.corinthia.com/ru/hotels/st-petersburg/, www.nevskypalace.ru/",Reservations.stpetersburg@corinthia.com,"Остиница Невский Палас считается одной из самых респектабельных в Санкт-Петербурге. Она расположена сразу в двух исторических зданиях XIX века, полностью отреставрированных снаружи и реконструированных изнутри. Теперь при внешнем виде роскошного старинного здания гостиница обладает самым современным внутренним содержанием: стильным интерьером, всеми техническими возможностями, необходимыми уже в XXI веке, и высоким уровнем сервиса. В связи с этим постоянными клиентами являются бизнес-элита, состоятельные люди, звезды с мировым именем, которые наравне с комфортом ценят и свое состояние, и свое время. Сохранить эти важные составляющие успеха позволяет, прежде всего, профессиональная организация сервиса в гостинице Коринтия Невский Палас.","Доставка еды и напитков в номер, Прокат автомобилей, Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Няня/Услуги по уходу за детьми, Прачечная, Химчистка, Услуги по глажению одежды, Чистка обуви, Пресс для брюк, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Парикмахерская/Салон красоты, V.I.P. Услуги, Люкс для новобрачных. Фитнес-центр, Солярий, Массаж. В каждом номере имеется кондиционер, телевизор с плоским экраном и роскошная ванная комната. Бесплатный Wi-Fi предоставляется как в номерах, так и в зонах общественного пользования.","59.932081,30.350857"
12051,Radisson Royal Hotel,Гостиница,164,328,Невский проспект 49/2,Центральный район,+7(812)3225000;,+7(812)3225001;,Http://www.radisson.ru/hotel-stpetersburg,Reservations.led@radissonblu.com; renata.valeeva@radissonblu.com,"Посмотрите на город глазами местных жителей, остановившись в самом центре Санкт-Петербурга. Отель Radisson Royal удобно расположен на Невском проспекте главной улице Санкт-Петербурга. В этом отеле, расположенном недалеко от всемирно известных культурных и исторических достопримечательностей города, включая музей Фаберже, гостям предлагаются роскошные удобства для приятного пребывания в Санкт-Петербурге. Отель находится рядом с торговыми и деловыми центрами, а также всего в 5 минутах ходьбы от нескольких станций метро.","Бесплатный беспроводной интернет (WiFi) 3 телефонных аппарата Сейф Пол с подогревом в ванной комнате Мини-бар Электрический чайник с набором чай-кофе Датчики дыма и пожарная сигнализация Дверной глазок и звонок Пресс для брюк бары/рестораны фитнес-центр 2 конференц-зала на 100 и 40 человек, 4 переговорных комнаты на 10-14 человек бизнесцентр служба консьержей бесплатный Wi-Fi банкоматы авиа и ж/д кассы предоставление автотранспорта с водителем вызов такси и автобусов камеры хранения доставка цветов кейтеринг круглосуточная охрана круглосуточное обслуживание в номерах","59.932076,30.348405"
12052,Renaissance St Petersburg baltic,Гостиница,102,204,"Санкт-Петербург, Почтамтская ул., 4, лит А",Адмиралтейский,+7(812)3804000;,+7(812)3804001;,Http://www.rensaintpetersburg.ru/,Nadezhda.tormozova@marriott.com; petersburg.info@renaissancehotels.com,"Полюбуйтесь неповторимой архитектурой одного из красивейших городов России и узнайте его историю, остановившись в «Ренессанс Санкт-Петербург Балтик». Благодаря отличному расположению отеля в центре Санкт-Петербурга, роскошно обставленным номерам и обслуживанию высшего уровня наш отель идеальное место для путешественников, независимо от того, с какой целью они сюда приехали, в командировку или в отпуск.","Доставка еды и напитков в номер, Круглосуточная стойка регистрации, Обмен валюты, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Прачечная, Химчистка, Услуги по глажению одежды, Чистка обуви, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Сувенирный магазин. Сауна, Фитнес-центр. В каждом номере для Вас удобные кровати с периной и пуховыми подушками, которые помогут почувствовать себя на седьмом небе Для наших гостей гостиница 5 звезд рада предложить доступ в сеть Интернет, спутниковое телевидение в каждом номере В каждом номере Вы также найдете: мини-бар, сейф, климат-контроль, утюг и гладильную доску Большинство номеров оснащены ванной, несколько номеров - душевой кабиной.","59.932577,30.304567"
12053,Solo Sokos Palace Bridge,Отель,324,648,"199004,Санкт-Петербург, Биржевой пер., д.2-4",Василеоостровский,+7(812)3352200;,+7(812)3352201;,Http://www.sokoshotels.fi/ru/sankt-peterburg/sokos-hotel-palace-bridge,Reservations@shotels.ru/,"Solo Sokos Hotel Palace Bridge – уни каль ный отель фор ма та «го род ской ку рорт», рас по ло жив ший ся в самом цен тре. Ин те рьер отеля со че та ет в себе де та ли ста рин но го зда ния и со вре мен ные ар хи тек тур ные ре ше ния в скан ди нав ском стиле. Solo Sokos Hotel Palace Bridge рас по ла га ет пре крас ны ми воз мож но стя ми для под дер жа ния здо ро во го об ра за жизни: Palace Bridge Wellness Club с впе чат ля ю щей спа-зоной с бас сей ном, спа-са ло ном Day Spa и уют ным фит нес-цен тром подарят незабываемые впечатления. Кроме того, на тре тьем этаже рас по ло жи лась пер вая в городе кры тая ака де мия голь фа GORKI Golf Academy. Каж дый гость может на сла дить ся блю да ми ис пан ской кухни в ре сто ране Sevilla, а также по ужи нать в пол ной тем но те в ре сто ране Dans le Noir?",Бары/рестораны фитнес-центр 9 конференц-залов на 20-410 человек бизнесцентр салон красоты служба консьержей прачечная и химчистка гладильная комната бесплатный Wi-Fi охраняемая подземная автостоянка пункты обмена валюты банкоматы авиа и ж/д кассы предоставление автотранспорта с водителем вызов такси и автобусов камеры хранения доставка цветов кейтеринг круглосуточная охрана завтрак Wi-Fi сейф спутниковое телевидение кондиционер,"59.945013,30.29279"
12054,ТАЛИОН ИМПЕРИАЛ ОТЕЛЬ,Гостиница,89,178,"191186, Санкт-Петербург, Невский проспект, д. 15 / 17 км до Пулково / в центре города",Центральный,+7(812)3249911; +7(812)3249944;,+7(812)3249957;,Http://www.taleonimperialhotel.com/ru/,Club@taleon.ru,"«Талион Империал Отель« это уникальный клубный отель, расположенный в знаменитом дворце Н.И. Чичерина на пересечении Невского проспекта и набережной реки Мойки, в самом сердце Санкт-Петербурга. Просторные номера и люксы отеля »Талион Империал» располагают кондиционером, телевизором с плоским экраном и сейфом. Дневная уборка номера.","Доставка еды и напитков в номер, Упакованные ланчи, Прокат автомобилей, Трансфер (за дополнительную плату), Трансфер от/до аэропорта (платный), Ускоренная регистрация заезда/отъезда, Обмен валюты, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Прачечная, Химчистка, Чистка обуви, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Парикмахерская/Салон красоты, Сувенирный магазин, V.I.P. Услуги, Люкс для новобрачных. Сауна, Фитнес-центр, Солярий, Спа и оздоровительный центр, Массаж, Гидромассажная ванна, Турецкая баня, Крытый плавательный бассейн , Крытый бассейн (работает круглый год).","59.936034,30.318267"
12057,АДМИРАЛТЕЙСКАЯ,Гостиница,50,100,"Санкт-Петербург, ул. Александра Блока, 8",Адмиратейский,+7(812)4954465;,None,Www.admhotel.ru,Mail@admhotel.ru,"Гостиница Адмиралтейская – это отличный вариант для бюджетного отдыха для всей семья для знакомства с Санкт-Петербургом. Отель находится в самом центре Санкт-Петербурга, В шаговой доступности от отеля расположены такие достопримечательности как: Мариинский театр, Исакиевская площадь, Санкт-Петербургская консерватория, Юсуповский дворец, завораживающий остров Новая Голландия.",Сувенирный магазин Продажа билетов Трансфер Прачечная Ресторан интернет Комфортные номера разных категорий; Круглосуточная стойка регистрации; Охраняемая парковка; Экскурсионное обслуживание; Аренда конференц-залов; Услуги ресторана; Трансфер от и до метро Садовая.,"59.923897,30.278022"
12058,АМУЛЕТ Гостевые комнаты на Зверинской,Малое средство размещения,8,16,"Санкт-Петербург, ул. Зверинская, д. 2/5- 12",Петроградский,+7(812)2329245;,+7(812)3154764;,Www.amulet-hotels.ru,Info@amulet-hotels.ru,"Завтрак,кухня, телевиозор, интернет",Не указано,"59.953781,30.292943"
12059,АМУЛЕТ Гостевые комнаты На Малой Морской,Малое средство размещения,7,11,"Санкт-Петербург, Малая Морская ул., 7, пом. 5,",Адмиралтейский,+7(812)2329245;,+7(812)3154764;,Http://www.amulet-hotels.ru/,Info@amulet-hotels.ru,"Амулет на Малой Морской улице расположен в самом центре исторической части Санкт-Петербурга в 3х минутах ходьбы от дворцовой площади и в 1 минуте ходьбы от станции метро ""Адмиралтейская"". Амулет на Малой Морской улице предлагает своим гостям 7 комфортабельных комнат, оборудованных индивидуальными сан. Узлами и всем необходимым для комфортного проживания оборудованием, включая антимоскитные сетки, стеклопаеты, мини-холодильники, телефоны. Амулет на Малой Морской открыт для Вас 24 часа в сутки и мы будем рады встретить Вас в любое время. Бесплатный интернет Wi-FI доступен для наших арендаторов на всей территории. Чистая питьевая вода в коферуме поможет Вам охладиться летом и согреться после прогулки зимой. В холле Вы сможете воспользоваться факсом, принтером, а так же гостевым компьютером с выходом в сеть интернет. Наши комнаты оборудованны своей системой отопления, поэтому комфорт наших арендаторов не зависит от графика отопительного сезона города, в наших номерах всегда тепло и уютно.","Завтрак, кухня, телефизор, интернет","59.936093,30.313532"
12071,ПРЕЗИДЕНТ ОТЕЛЬ,Гостиница,20,40,"Санкт-Петербург, Зеленогорск, Приморское шоссе, 572",Курортный,8 (812) 314-87-86,Нет,Www.ct.spb.ru,Hp-president@ct.spb.ru,"Президент-Отель наша собственная, отредактированная версия кругосветного путешествия: здесь немного запада, там востока, кое-что от юга на холодном фоне Финского залива. Итак, что вам подать? Может быть, Нью-Йорк начала 70-х? Или Бангкок в пору цветения? В 20 номерах, носящих названия знаменитых уголков планеты, счастливо засыпают искатели приключений, для которых комфорт является естественным продолжением самих себя. Они ценят подлинную элегантность, но не хотят становиться слишком серьёзными. Увлекаются и пробуют, зная, что в любой момент могут вернуться к любимым ощущениям и испытать всё заново. Быть как дома вдали от дома, чувствовать себя исследователем, никуда не уезжая, сочетать интересное общение с покоем и уединением атмосфера этого места мягко открывает желания гостя, не стремясь навязать свою волю. Дополнять да, доминировать нет.","Пользование спортивными площадками и инвентарем: Футбольное поле; Волейбольная площадка; Мини-гольф; Настольный теннис; Велосипеды; Бадминтон; Водное поло; Бильярд. Завтраки в ресторане с выбором по меню неограниченное пользование релаксационным SPA-комплексом спортинвентарь и спортивные площадки детская комната с игровой приставкой и игрушками. В каждом номере: Санузел Кондиционер; Телефон; Спутниковое ТВ; Холодильник; Теплый пол в ванной; Предоставление халатов и тапочек; Фен; Косметический набор. Неограниченное пользование релаксационным SPA-комплексом: Открытый подогреваемый бассейн (длина 25м, глубина от 1,2 м до 1,9 м); Крытый подогреваемый бассейн с гидромассажем (длина 10 м., глубина от 1,2м до 1,8м); Турецкий хамам; Финская сауна; Терраса с шезлонгами у открытого бассейна; Пляжные полотенца.","60.191463,29.653253"
12091,ЕКАТЕРИНА,Отель,40,77,"С-Петербург, ул. Миллионная, д. 10, лит. А, пом. 1Н",Центральный,8 (912) 401-65-66,Нет,Https://ekaterinahotel.com/ru/,Info@ekaterinahotel.com,Не указано,Wi-Fi LCD-телевизор Фен Чайник и чайный набор Капсульная кофемашина Мини-холодильник Сейф Кровать 140*200 Кондиционер Халат и тапочки Ванные принадлежности,"59.717273,30.393995"
12092,ЕЛИЗАР-ОТЕЛЬ,Гостиница,40,72,"Санкт-Петербург, пр. Обуховской Обороны, 89-а",Невский,+7(812)3369339;,Нет,Http://elizar-hotel.ru,Info@elizar-hotel.ru,Наша гостиница входит в группу отелей и кемпингов «Невский горизонт« и расположена всего в трех минутах ходьбы от метро »Елизаровская».,Кафе; Сауна; Услуги прачечной; Вызов такси; Заказ экскурсий; Постановка на миграционный учет; Сейфовые ячейки на ресепшене - бесплатно; Парковка на территории - бесплатно Расширенный континентальный завтрак; Wi-Fi; Сейфовые ячейки на ресепшене; Парковка на территории; Кабельное телевидение,"59.899112,30.42787"
12093,ИМПЕРИЯ ПАРК,Отель,36,50,"Санкт-Петербург, ул. Академика Лебедева, 10г",Калининский,+7(812)5421300,Нет,Https://empirepark.ru/,Office@empirepark.spb.ru,"Если цель Вашего визита в Санкт-Петербург,- деловая поездка, командировка или туризм мы рады предложить Вам остановиться у нас,- в гостинице «Империя Парк« и гостевом доме »Иоланта». Мы гарантируем оптимальный выбор по цене, качеству и уровню сервиса.","Трансфер Организация экскурсионной и культурной программы Услуги гида-переводчика Визовая поддержка Услуги прачечной Бизнес-услуги Аренда автомобиля Аренда конференц-зала Wi-Fi Интернет Банковские ячейки Вызов такси Заказ авиа- и железнодорожных билетов Камера хранения багажа Заказ билетов в театры, кино, на концерты Уведомление в УФМС","59.96148,30.354738"
12094,ИНГРИЯ,Гостиница,35,70,"Санкт-Петербург, Колпино, ул. Вавилова, д.20",Колпинский,+7(812)3347074; +7(812)3347072;,Нет,Http://ingriahotel.ru,Ingria@mail.ru,"Гостиница «Ингрия» - это современный отель категории »ТРИ ЗВЕЗДЫ«, расположенный в Колпинском районе Санкт-Петербурга. Гостиница занимает отдельно стоящее пятиэтажное здание в центре города Колпино, имеет собственную огороженную автостоянку с видеонаблюдением, ресторан и бесплатный Wi-Fi на всей территории. От нас рукой подать до исторических пригородов Павловска и Пушкина (Царское Село), а от ближайших станций метро «Звездная» и »Купчино« можно быстро доехать до центра города Невского проспекта. На автомобиле до аэропорта Пулково всего 20 минут, а на электропоезде до центра Санкт-Петербурга 30 минут. Визитная карточка гостиницы «Ингрия» - индивидуальный подход к каждому гостю, доброжелательное отношение, чистота номеров и профессионально подготовленный персонал.","Завтрак, -ресторан (2 зала), -конференц-зал на 20 человек, -электронный консьерж, -деловой центр (компьютер, факс, принтер), -утюг, гладильная доска, -сейф, -электрочайник, -кулер с холодной и горячей водой на каждом этаже, -вызов такси, -камера хранения, -круглосуточная охрана, -прачечная, -салон красоты, -автопарковка на 30 машин, -платежные терминалы Wi-Fi, -кабельное телевидение, -спутниковое телевидение, -холодильник -фен","59.742846,30.590321"
12098,КРИСТОФФ,Отель,31,62,"Санкт-Петербург, Загородный пр., 9",Центральный,+7(812)7124782;,Нет,Http://kristoff.ru,Info@kristoff.ru,"Отель 3* открыт в 2004 году и занимает 3 этажа здания 1879 года постройки, где в 1887-1891 г.г. Жил композитор Рубинштейн А.Г. Здание, в котором расположен отель, является объектом культурного наследия федерального значения. В номерах отеля сохранены элементы отделки, представляющие историко-культурную ценность. Все номера обставлены эксклюзивной итальянской мебелью. «Кристофф Отель» - расположен в историческом, культурном и деловом центре Санкт-Петербурга. В 5 минутах ходьбы от Невского проспекта и в минуте ходьбы от станций метро »Достоевская« и «Владимирская».","Завтрак всегда включен в стоимость проживания («шведский стол») бесплатный доступ в интернет (Wi-Fi ) на всей территории отеля и ресторана бесплатное предоставление ноутбука для гостей отеля круглосуточные услуги консьержа круглосуточная охрана и видеонаблюдение зоны отдыха и переговоров, оборудованные ПК. Камера хранения сейфы визовая поддержка для гостей стирка, глажка возможность совместить номера офисные услуги (копир, принтер, сканер, международная связь) обслуживание в номерах (ресторан Кристофф)","59.927085,30.344057"
12099,КРОНВЕРК,Отель,26,52,"Санкт-Петербург, ул. Блохина, 9, лит. А",Петроградский,+7(812)7033663;,+7 812 449-67-01,Http://kronverk.com,Office@kronverk.com,"Уже в мае 2020 года мы будем готовы принять Вас в нашем обновлённом отеле! Уверены, что результат проделанной нами работы превзойдет любые ожидания! Высокий уровень сервиса и еще более комфортный интерьер, позволят Вам чувствовать себя как дома!","Завтрак Круглосуточная стойка регистрации Крытая отапливаемая парковка Кафе-бар ""Кронверк"" Стирка и глажка одежды Побудка Заказ билетов (авиа, ж/д, театральных) Заказ такси, организация трансфера Ксерокопирование документов Отправка факсимильных сообщений Бесплатный интернет во всех номерах На стойке ресепшн есть сейф для хранения Ваших ценностей Визовая поддержка и постановка на миграционный учет для иностранных граждан Бизнес услуги аренда конференц-зала с дополнительным оборудованием (площадью 52,4 кв.м, вместимостью до 40 человек) Комната для хранения вещей","59.951466,30.302798"
12100,ЛИГОТЕЛЬ,Гостиница,26,38,"Санкт-Петербург, Лиговский пр., 55/4",Центральный,8 (812) 600-08-12,Нет,Http://ligotel.com,Info@ligotel.com,"Идеальное расположение. Гостиница находится напротив Московского вокзала, достаточно просто перейти Лиговский проспект. В 200 метрах расположен Невский проспект. До основных городских достопримечательностей (Эрмитаж, Адмиралтейство, Исаакиевский собор) можно доехать за 7 – 10 минут на общественном транспорте. Напротив отеля находится крупнейший торгово-развлекательный комплекс «Галерея«. Разумное соотношение комфорта и стоимости проживания.В гостинице »Лиготель» есть комфортабельные номера различных категорий. Все они оборудованы удобной мебелью, выполненной по индивидуальному заказу, ванными комнатами с теплыми полами, кондиционерами, телевизорами. По всей территории отеля работает бесплатный скоростной Wi-Fi. В стоимость проживания включен завтрак. Программу лояльности, которая сделает цену на проживание в номерах нашей гостиницы еще ниже!",Завтрак Wi-Fi сейф спутниковое телевидение система климат-контроля кафе гладильная комната бесплатный Wi-Fi вызов такси и автобусов камеры хранения доставка цветов круглосуточная охрана,"59.928897,30.358403"
