№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной услуги в соответствии с административным регламентом,Реестровый номер,Тип,Способы предоставления услуги,"Ссылка на Портале ""Государственные и муниципальные услуги в Санкт-Петербурге""","Распоряжение исполнительного органа государственной власти Санкт-Петербурга, которым утвержден административный регламент"
183,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Принимать решения о предварительном согласовании предоставления земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, гражданам для индивидуального жилищного строительства в собственность или в аренду",7800000000160341150,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/224533/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 01.11.2017 № 206-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по принятию решений о предварительном согласовании предоставления земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, гражданам для индивидуального жилищного строительства или для ведения дачного хозяйства в собственность или в аренду"""
184,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Предоставлять в аренду земельный участок, находящийся в государственной собственности Санкт-Петербурга, или земельный участок, расположенный на территории Санкт-Петербурга, государственная собственность на который не разграничена, образованный в границах застроенной территории, в отношении которой заключен договор о ее развитии, или принимать решение о предоставлении такого участка в собственность бесплатно",7800000000160115086,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/404517/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 22.12.2017 № 234-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по принятию решения о предоставлении в аренду или в собственность бесплатно земельного участка, находящегося в государственной собственности Санкт-Петербурга, или земельного участка, расположенного на территории Санкт-Петербурга, государственная собственность на который не разграничена, образованного в границах застроенной территории, в отношении которой заключен договор о ее развитии"""
185,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Предоставлять земельные участки, находящихся в государственной собственности Санкт-Петербурга, и земельные участки, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в безвозмездное пользование",7800000000160491055,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/471933/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 24.08.2018 № 104-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по предоставлению земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в безвозмездное пользование"""
186,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Принимать решения о предварительном согласовании предоставления земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, гражданам и юридическим лицам (за исключением принятия решения о предварительном согласовании предоставления земельных участков для индивидуального жилищного строительства с учетом особенностей, предусмотренных статьей 39.18 ЗК РФ)",7800000000160491035,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/224881/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 30.01.2018 № 6-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по принятию решений о предварительном согласовании предоставления земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, гражданам и юридическим лицам (за исключением принятия решения о предварительном согласовании предоставления земельных участков для индивидуального жилищного строительства или ведения дачного хозяйства с учетом особенностей, предусмотренных статьей 39.18 Земельного кодекса Российской Федерации)"""
187,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю",Принимать решение о прекращении права пожизненного наследуемого владения земельными участками при наличии заявлений правообладателей об отказе от права пожизненного наследуемого владения земельными участками,7800000010000077730,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/392289/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 27.11.2017 № 217-р ""Об утверждении административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по принятию решений о прекращении права пожизненного наследуемого владения земельными участками при наличии заявлений правообладателей об отказе от права пожизненного наследуемого владения земельными участками"""
188,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Заключать соглашения об установлении сервитутов в отношении земельных участков, находящихся в государственной собственности Санкт-Петербурга, а также земельных участков, государственная собственность на которые не разграничена",7800000010000077617,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188983/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 06.07.2018 № 84-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по заключению соглашений об установлении сервитутов в отношении земельных участков, находящихся в собственности Санкт-Петербурга, и земельных участков, государственная собственность на которые не разграничена"""
189,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Предоставлять гражданам Российской Федерации, имеющим трех и более детей, земельные участки для индивидуального жилищного или дачного строительства",7800000010000125143,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188493/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 20.07.2016 № 78-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по предоставлению гражданам Российской Федерации, имеющим трех и более детей, земельных участков для индивидуального жилищного или дачного строительства"""
190,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Предоставлять информацию об объектах недвижимого имущества, находящихся в государственной собственности и предназначенных для сдачи в аренду",7800000010000118618,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188551/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 30.12.2015 № 84-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги и о признании утратившим силу распоряжения Комитета по управлению городским имуществом от 07.03.2012 № 26-р"""
191,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Принимать решения о предоставлении земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, гражданам для индивидуального жилищного строительства в собственность или в аренду",7800000000160490983,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/224865/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 01.11.2017 № 207-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по принятию решений о предоставлении земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, гражданам для индивидуального жилищного строительства в собственность или в аренду"""
192,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Принимать решение о проведении аукциона на право заключения договоров аренды земельных участков, за исключением земельных участков, предоставляемых для строительства, реконструкции, приспособления для современного использования или размещения объектов капитального строительства",7800000010000077718,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188993/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 25.10.2018 № 132-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по предоставлению физическим и юридическим лицам земельных участков в аренду по итогам торгов на право заключения договоров аренды земельных участков, за исключением земельных участков, предоставляемых для строительства, реконструкции, приспособления для современного использования или размещения объектов капитального строительства"""
193,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Предоставлять физическим и юридическим лицам земельные участки, находящихся в государственной собственности Санкт-Петербурга, и земельные участки, расположенные на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в аренду без проведения торгов, за исключением земельных участков, предоставляемых для строительства, реконструкции и приспособления для современного использования",7800000010000077719,Услуга,В ИОГВ (ГУ); через РПГУ,Https://gu.spb.ru/188991/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 14.06.2018 № 69-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по предоставлению физическим и юридическим лицам земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в аренду без проведения торгов, за исключением земельных участков, предоставляемых для строительства, реконструкции и приспособления для современного использования"""
194,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Принимать решения о предоставлении земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, находящихся в постоянном (бессрочном) пользовании юридических лиц, указанным юридическим лицам в собственность без проведения торгов, за исключением лиц, указанных в пункте 2 статьи 39.9 Земельного кодекса Российской Федерации",7800000000164275437,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/530675/,"Распоряжение Комитета имущественных отношений Санкт-Петербурга от 30.07.2019 № 123-р ""Об утверждении Административного регламента Комитета имущественных отношений Санкт-Петербурга по предоставлению государственной услуги по принятию решений о предоставлении земельных участков, находящихся в государственной собственности Санкт-Петербурга, и земельных участков, расположенных на территории Санкт-Петербурга, государственная собственность на которые не разграничена, находящихся в постоянном (бессрочном) пользовании юридических лиц, указанным юридическим лицам в собственность без проведения торгов, за исключением лиц, указанных в пункте 2 статьи 39.9 Земельного кодекса Российской Федерации"""
